page_id,page_name,url,architecture_status,copy_version,copy_file,copy_status,approved_claim_ids,blocked_claims_or_decisions,required_reviewer,publication_decision
PAGE-001,Home,/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-001;CLM-002;CLM-003;CLM-004;CLM-005;CLM-006;CLM-007;CLM-008;CLM-011;CLM-013;CLM-014","CLM-015;CLM-025;CLM-026",Evolve marketing/executive,READY AFTER APPROVAL
PAGE-100,Design & Build,/design-build/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-001;CLM-003;CLM-004;CLM-005;CLM-006;CLM-008;CLM-010;CLM-013;CLM-014",,Design & Build owner,READY AFTER APPROVAL
PAGE-110,Planning & Feasibility,/design-build/planning-feasibility/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-014","RQ-002",Planning/service owner,READY AFTER APPROVAL
PAGE-120,Data Center Design & Engineering,/design-build/design-engineering/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-005;CLM-013;CLM-014","CLM-035",Design/engineering owner,READY AFTER APPROVAL
PAGE-130,Preconstruction & Procurement,/design-build/preconstruction-procurement/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-014",,Preconstruction/procurement owner,READY AFTER APPROVAL
PAGE-140,Data Center Construction,/design-build/data-center-construction/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-006;CLM-008;CLM-010;CLM-013;CLM-014",,Construction/safety owner,READY AFTER APPROVAL
PAGE-150,Commissioning & Turnover,/design-build/commissioning-turnover/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-013;CLM-014","RQ-004",Commissioning owner,READY AFTER APPROVAL
PAGE-160,Expansions & Retrofits,/design-build/expansions-retrofits/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-013;CLM-014","CLM-029;CLM-031",Construction/operations owner,READY AFTER APPROVAL
PAGE-170,Modular Data Centers,/design-build/modular-data-centers/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-005;CLM-006;CLM-007;CLM-011;CLM-012;CLM-013;CLM-014",,Modular owner,READY AFTER APPROVAL
PAGE-180,Hyperscale Data Centers,/design-build/hyperscale-data-centers/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-005;CLM-006;CLM-007;CLM-013;CLM-014","CLM-025;CLM-026",Hyperscale/program owner,READY AFTER APPROVAL
PAGE-190,AI Data Centers,/design-build/ai-data-centers/,Launch,COPY-001A-v1.0,Evolve_Copy_01_Core_Design_Build_2026-09-07.md,Stakeholder review,"CLM-001;CLM-003;CLM-004;CLM-005;CLM-006;CLM-007;CLM-011;CLM-013;CLM-014","CLM-027;CLM-035",AI/design owner,READY AFTER APPROVAL
PAGE-200,Power Generation,/power-generation/,Launch,COPY-001B-v1.0,Evolve_Copy_02_Power_Maintain_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-007;CLM-013;CLM-014","CLM-028;CLM-029;RQ-003",Power owner,READY AFTER APPROVAL
PAGE-210,Evolution Series,/power-generation/evolution-series/,Gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,,"AD-002;CLM-028;CLM-029",Product owner/legal,DO NOT PUBLISH
PAGE-220,Backup Power Systems,/power-generation/backup-power-systems/,Launch,COPY-001B-v1.0,Evolve_Copy_02_Power_Maintain_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-013;CLM-014","RQ-003",Power/engineering owner,READY AFTER APPROVAL
PAGE-230,Power Planning & Integration,/power-generation/power-planning-integration/,Gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,,"RQ-002;RQ-003",Power/service owner,DO NOT PUBLISH
PAGE-240,On-Site & Bridge Power,/power-generation/onsite-bridge-power/,Phase 2 gated,,Evolve_Copy_02_Power_Maintain_2026-09-07.md,No publishable copy,,"RQ-003",Power owner/legal,DO NOT PUBLISH
PAGE-300,Service & Maintenance,/maintenance/,Launch,COPY-001B-v1.0,Evolve_Copy_02_Power_Maintain_2026-09-07.md,Stakeholder review,"CLM-003;CLM-004;CLM-008;CLM-013;CLM-014","CLM-015;CLM-016;CLM-017;CLM-022;CLM-030;CLM-031",Service & Maintenance owner,READY AFTER APPROVAL
PAGE-310,Preventive Maintenance,/maintenance/preventive-maintenance/,Launch,COPY-001B-v1.0,Evolve_Copy_02_Power_Maintain_2026-09-07.md,Stakeholder review,"CLM-013;CLM-014","CLM-015;CLM-016;CLM-017;CLM-022;CLM-029;CLM-031",Service & Maintenance owner,READY AFTER APPROVAL
PAGE-320,Power Generation Maintenance,/maintenance/power-generation-maintenance/,Launch conditional,COPY-001B-v1.0,Evolve_Copy_02_Power_Maintain_2026-09-07.md,Editorial draft,"CLM-013;CLM-014","AD-006;RQ-003",Service & Maintenance owner,DO NOT PUBLISH UNTIL SCOPE APPROVAL
